Type of land use in floodplains										
Water			Concrete/Settlement			Silt			Vegetation	
27.198695	78.031983		27.189786	78.022598		27.183777	78.055761		27.175781	78.044406
27.199523	78.032518		27.189868	78.022536		27.184217	78.056448		27.174768	78.044108
27.200282	78.032986		27.190245	78.022832		27.184472	78.056899		27.173556	78.044134
27.201187	78.033679		27.190602	78.022868		27.184531	78.057182		27.172731	78.043337
27.202296	78.033867		27.190846	78.023049		27.184243	78.057364		27.172146	78.043378
27.202913	78.034144		27.190714	78.022174		27.18416	78.057183		27.171323	78.043934
27.203503	78.034465		27.190725	78.021769		27.184443	78.058573		27.171134	78.045208
27.203698	78.03482		27.191243	78.021701		27.185692	78.058		27.171785	78.046238
27.203979	78.034502		27.191162	78.021359		27.185458	78.056948		27.171517	78.047975
27.204348	78.034951		27.191315	78.021419		27.185704	78.057072		27.171894	78.04797
27.204529	78.034715		27.191436	78.021529		27.185347	78.05691		27.172154	78.049831
27.204476	78.035137		27.191447	78.021152		27.186008	78.058098		27.172192	78.050205
27.205547	78.035784		27.191182	78.020816		27.186076	78.05889		27.172342	78.050604
27.205985	78.036225		27.190983	78.02021		27.186557	78.058744		27.172325	78.050075
27.18077	78.030777		27.19011	78.019427		27.187453	78.059257		27.17179	78.050073
27.180199	78.030587		27.189667	78.01938		27.188714	78.059785		27.170514	78.050588
27.180374	78.031256		27.189319	78.020365		27.187933	78.060982		27.170406	78.05112
27.18051	78.031534		27.189274	78.020908		27.187758	78.060629		27.170712	78.052294
27.18142	78.030451		27.188974	78.021467		27.187944	78.059092		27.170553	78.052366
27.182188	78.029954		27.188812	78.021831		27.189071	78.062635		27.170261	78.05272
27.181551	78.030018		27.188492	78.022517		27.189394	78.063004		27.170047	78.05217
27.177248	78.036286		27.187837	78.022764		27.189065	78.062617		27.16989	78.052609
27.176393	78.037784		27.187694	78.022872		27.189205	78.063091		27.169166	78.053516
27.176291	78.038437		27.187541	78.023158		27.18847	78.062395		27.163089	78.06747
27.176294	78.040397		27.187699	78.023457		27.188272	78.061397		27.163473	78.067491
27.176173	78.040716					27.187935	78.061071		27.16207	78.066735
						27.187755	78.060646		27.161962	78.066111
						27.187888	78.060522		27.161756	78.065886
									27.161265	78.066023
									27.160859	78.065383
									27.160927	78.066276
									27.159841	78.065995
									27.159984	78.067194
									27.159952	78.068053
									27.158968	78.068133
									27.160023	78.069189
									27.159792	78.070194
									27.159776	78.070368
									27.159831	78.069357
									27.162226	78.067545
									27.162179	78.067957
									27.16241	78.06752
									27.162866	78.067439
									27.163754	78.066852
